availability_30,availability_60,availability_90,availability_365
29,59,89,364
0,8,32,251
29,59,89,364
0,0,0,0
22,34,54,329
4,24,49,49
0,0,0,0
22,33,53,280
9,39,69,256
4,11,18,152
0,0,0,0
0,0,0,33
0,0,0,0
5,35,65,340
17,40,58,316
9,19,34,77
0,0,0,0
30,57,79,343
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,2,29,296
30,60,90,347
25,55,85,321
0,0,0,0
0,0,0,0
28,58,88,363
23,53,83,358
5,9,13,43
7,30,60,80
0,0,0,163
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,30,46,280
0,0,0,0
0,0,0,0
0,16,30,120
16,46,73,348
10,25,55,261
2,4,14,252
0,0,7,144
26,56,86,361
0,0,0,0
0,0,0,0
26,56,86,361
9,39,69,329
23,53,83,358
30,60,90,365
22,45,67,310
7,16,22,191
11,32,57,321
2,24,51,56
10,34,64,137
0,0,0,0
21,33,43,286
0,0,0,17
20,50,80,340
30,60,90,365
30,60,90,270
22,52,82,348
23,53,83,358
0,0,0,0
0,0,0,0
16,33,33,220
30,60,90,365
12,42,72,347
14,29,59,334
29,59,89,357
0,0,0,0
8,20,29,295
29,59,89,364
29,59,89,324
0,3,12,132
23,53,83,358
0,0,0,0
0,0,0,0
22,52,82,357
24,51,75,230
14,44,74,349
9,14,37,305
26,43,71,92
4,11,29,289
0,0,0,0
6,28,53,328
0,0,0,0
2,7,13,176
0,0,0,0
14,33,63,334
0,0,0,0
3,4,14,96
1,1,20,271
3,21,44,282
4,12,35,225
30,60,90,365
29,59,89,89
2,24,45,306
30,60,90,365
5,33,42,298
15,35,62,84
23,53,83,358
14,35,40,235
8,26,49,63
8,16,39,286
15,44,66,339
16,27,47,73
8,38,61,297
28,58,88,88
30,60,90,365
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
28,58,88,363
0,0,0,0
12,23,26,291
4,27,57,332
0,0,0,0
7,35,65,155
0,0,0,0
29,59,89,89
4,11,27,272
23,51,81,304
6,29,46,46
23,53,83,173
0,16,46,183
30,60,90,365
30,60,90,365
0,0,0,0
0,0,0,0
10,15,30,286
27,57,87,362
30,60,90,365
0,0,0,0
30,60,90,365
4,15,24,245
20,50,80,133
4,23,53,325
8,12,14,14
0,11,38,39
0,1,3,112
10,10,10,48
10,40,70,209
23,53,83,83
29,59,89,364
30,48,66,322
25,55,85,308
4,10,37,306
30,60,90,365
23,53,83,358
30,60,90,365
11,29,59,149
29,59,89,364
0,0,0,0
