availability_30,availability_60,availability_90,availability_365
17,42,42,83
1,31,61,61
0,0,0,0
25,50,80,355
14,38,60,308
0,13,43,318
30,60,90,362
2,4,34,197
0,0,0,0
0,0,0,0
6,19,49,139
9,22,45,246
0,0,0,0
29,59,89,263
16,46,76,351
23,53,83,358
10,35,57,316
0,0,0,0
11,18,23,99
0,0,0,0
11,41,71,314
6,15,21,67
3,12,22,263
8,9,9,9
0,0,0,0
0,18,48,323
10,28,50,50
27,57,87,87
23,53,83,127
23,53,83,358
23,53,81,229
7,16,42,76
12,42,68,318
29,59,89,179
30,60,90,365
0,0,0,138
4,34,64,339
0,0,0,48
11,18,23,207
3,6,17,169
27,49,79,350
0,0,0,0
0,5,21,194
0,0,0,0
29,59,89,364
21,51,81,160
5,35,65,339
18,29,50,203
0,0,0,0
0,0,0,0
0,0,5,123
7,30,60,311
8,19,36,116
0,0,0,0
15,35,55,180
9,39,69,344
13,43,71,340
0,0,0,0
0,0,0,0
24,51,81,228
0,0,0,261
30,60,90,365
0,0,0,0
0,0,0,0
26,56,86,86
30,60,90,180
0,0,0,0
0,0,8,8
0,0,20,295
0,0,1,260
6,23,45,45
0,0,16,291
9,39,69,344
4,23,53,328
10,40,70,160
23,53,83,358
4,4,4,4
8,34,48,281
4,11,16,221
28,58,88,88
0,0,0,0
0,0,0,0
0,0,0,0
15,41,65,189
17,42,42,84
11,17,45,249
5,15,36,210
0,0,0,0
0,0,0,0
1,22,43,252
2,3,6,180
0,0,19,185
29,59,89,179
24,54,84,315
0,0,0,0
0,0,0,0
18,48,78,353
30,60,90,238
0,0,0,0
7,23,29,266
0,0,5,20
13,35,61,327
23,23,23,23
0,0,0,0
0,0,0,42
27,57,87,87
1,1,1,1
12,12,12,12
4,14,31,212
29,59,89,357
6,8,18,232
0,0,0,0
0,0,0,96
0,0,0,0
1,1,1,2
0,0,0,0
0,0,0,0
8,20,38,288
0,0,0,0
0,13,40,310
0,0,0,0
12,25,35,223
0,0,0,0
0,2,26,297
0,0,0,259
5,12,29,223
0,3,20,32
0,0,0,1
0,5,24,299
0,0,0,0
30,60,90,365
21,22,29,47
29,59,89,364
9,23,45,291
0,0,0,0
4,19,43,43
29,59,89,364
10,21,27,89
24,44,62,125
30,60,90,365
29,59,89,179
0,0,0,0
0,0,0,0
8,22,35,202
0,6,36,311
0,0,0,0
23,47,71,274
0,8,18,229
30,60,86,338
15,26,51,115
0,0,0,0
0,0,0,0
0,0,0,0
1,6,24,204
13,34,59,64
0,0,0,0
30,60,90,365
0,0,0,0
0,0,0,126
0,0,0,0
4,21,39,39
0,0,0,0
23,45,72,191
0,0,0,64
27,57,83,83
0,0,0,0
9,35,62,319
0,0,0,0
2,3,10,144
0,0,0,0
3,22,35,286
30,60,90,271
0,0,0,0
0,0,0,0
20,45,45,45
3,5,17,267
0,0,0,7
5,24,54,329
0,0,0,0
0,0,0,0
2,2,2,2
28,58,88,179
27,57,87,362
0,0,0,0
18,18,24,299
0,0,0,0
20,21,21,82
0,0,0,0
20,50,75,350
1,14,44,308
0,0,0,0
0,0,0,0
9,9,9,9
29,59,89,179
1,3,4,99
28,58,88,363
0,0,0,0
23,48,63,63
10,40,70,70
29,59,89,179
0,0,0,0
9,22,44,306
30,60,90,365
18,37,64,193
29,59,89,269
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,4,7,29
0,0,0,0
0,23,53,144
0,4,34,309
29,59,89,89
23,38,53,116
12,39,62,69
0,0,0,0
6,11,41,316
0,0,20,84
0,0,0,0
28,58,88,88
23,53,83,83
0,0,0,0
9,36,60,145
9,25,43,124
0,0,0,0
0,0,0,0
0,5,35,308
17,47,77,167
10,29,48,183
30,60,90,180
1,2,7,238
0,0,0,0
1,2,32,307
13,29,50,238
21,51,81,356
4,5,14,224
0,0,16,16
0,0,0,0
0,0,0,0
15,32,32,196
6,17,42,69
12,29,59,293
30,60,90,365
16,29,49,205
0,0,0,0
0,0,0,251
30,60,90,364
0,0,0,0
30,60,90,90
27,57,87,362
26,56,86,234
0,0,0,0
13,33,45,135
24,44,59,59
29,59,88,88
0,19,19,19
12,42,72,347
0,0,0,222
5,7,13,171
16,24,33,267
0,0,0,0
5,34,48,250
25,55,85,98
16,38,63,335
7,32,59,59
0,0,0,2
4,10,32,32
30,60,90,90
23,53,83,83
0,0,0,0
20,20,43,52
22,45,68,128
8,32,62,82
11,28,51,71
0,0,0,0
30,60,90,365
28,58,88,88
0,0,0,64
0,0,0,190
3,4,17,185
25,55,85,85
24,44,66,272
0,0,0,81
0,0,0,157
18,34,61,258
30,60,90,365
19,49,79,354
0,0,0,0
0,0,0,0
0,0,0,0
8,8,8,8
29,59,89,364
15,31,42,274
30,60,90,365
24,54,84,173
2,11,21,21
26,56,86,361
12,34,61,319
21,51,81,171
0,0,0,138
0,0,0,0
0,0,4,28
11,25,31,244
14,33,59,84
29,59,89,89
4,12,28,282
0,0,0,0
15,45,75,107
13,21,21,21
30,60,90,324
30,49,79,354
5,7,13,244
0,0,0,83
23,53,83,172
30,60,90,90
0,0,0,0
10,16,37,211
11,34,64,64
26,53,77,330
0,0,0,0
0,0,0,0
29,59,89,364
15,42,72,347
6,6,6,6
18,48,78,78
0,0,0,0
0,6,32,80
19,38,52,74
29,59,89,364
24,54,84,163
0,16,44,253
28,58,88,88
28,58,88,363
18,48,77,156
28,58,86,326
0,0,0,0
0,0,0,0
4,11,22,70
0,4,31,51
12,39,60,331
0,0,0,0
0,0,0,0
5,14,19,219
28,58,88,88
29,59,89,364
18,48,78,332
18,35,46,46
21,51,79,254
0,0,0,123
30,52,82,357
0,0,0,0
1,1,3,7
4,5,13,186
29,59,89,354
0,0,0,0
0,0,0,218
15,31,61,336
30,60,90,365
0,0,0,0
0,0,0,0
30,60,90,180
30,60,90,365
30,60,90,365
5,13,17,168
0,0,0,40
0,0,0,0
0,0,0,253
29,59,89,179
30,60,90,365
1,1,23,237
5,34,49,324
4,15,31,185
16,39,69,69
22,42,66,152
0,0,0,0
16,38,68,68
30,60,90,180
30,60,90,292
6,36,66,341
0,0,2,2
6,31,52,323
19,19,19,182
30,60,90,90
29,59,89,364
20,26,52,260
10,33,63,333
0,6,11,168
14,36,66,329
5,27,34,35
0,0,0,0
0,0,0,0
20,36,66,330
0,0,0,0
0,0,0,0
30,60,90,180
20,43,69,344
27,53,83,344
8,18,27,111
17,47,75,333
0,0,0,4
28,58,88,363
0,0,0,0
12,21,21,62
0,0,0,0
25,55,85,360
10,25,55,330
0,0,0,0
0,0,0,0
29,59,89,364
5,22,45,304
22,52,82,357
0,0,0,0
30,60,90,365
19,40,40,40
23,41,52,258
0,0,0,131
9,36,61,224
14,14,14,256
9,25,55,297
4,4,4,4
21,42,63,327
3,33,63,338
0,0,0,0
6,18,30,121
14,34,50,250
0,19,49,324
15,39,58,150
0,0,0,0
16,39,69,317
0,0,0,0
30,60,90,365
11,32,62,63
1,5,15,15
0,0,0,0
20,48,78,111
2,4,19,203
0,0,0,0
1,12,25,279
0,0,0,0
26,56,86,361
29,59,89,89
0,0,0,0
1,1,1,188
2,3,7,82
0,0,0,0
30,60,90,365
14,40,55,166
15,45,75,165
3,15,35,275
15,45,60,323
0,0,0,0
0,0,0,0
11,32,59,330
0,0,0,0
25,50,72,72
0,4,34,309
0,0,0,0
20,50,73,336
0,0,0,0
24,32,41,310
30,60,90,180
0,0,0,0
30,60,90,365
0,0,0,220
9,39,69,69
20,20,20,20
5,12,30,226
0,0,0,0
14,14,14,96
0,0,0,0
0,0,0,0
29,59,89,364
0,0,0,61
30,60,90,365
28,58,88,88
0,0,0,0
29,59,89,355
0,0,0,0
0,7,7,24
0,4,34,34
27,57,87,362
0,3,21,292
0,0,0,67
26,56,86,361
12,16,25,254
15,19,31,232
14,28,50,179
27,44,71,333
6,28,43,250
4,5,10,23
30,60,90,365
23,53,83,83
30,60,90,365
30,60,90,365
0,0,0,0
0,0,0,0
4,24,44,274
17,39,69,249
29,59,89,364
0,0,0,0
18,18,48,323
0,0,0,0
5,13,31,238
3,3,3,3
7,37,67,342
30,58,88,356
16,23,45,135
11,41,71,146
20,34,52,303
9,25,55,55
20,20,20,20
29,59,89,179
16,39,64,189
29,59,89,180
27,57,87,362
5,21,41,316
21,31,45,299
27,55,66,66
17,29,40,291
5,35,65,340
0,15,45,316
9,16,23,278
28,58,88,363
0,0,0,0
0,0,0,0
19,49,56,56
0,0,0,0
0,0,0,0
30,60,90,91
22,51,79,159
0,0,0,0
12,28,30,247
7,19,19,19
0,0,4,185
10,40,70,160
9,26,35,95
0,0,0,0
1,1,1,1
0,0,0,0
26,47,77,168
0,0,0,0
11,27,57,301
12,42,72,292
29,59,89,364
0,0,0,0
18,48,78,353
0,0,0,0
21,45,61,323
0,0,0,0
27,57,87,87
20,50,80,355
30,60,90,90
0,0,0,0
0,0,0,0
29,59,89,179
27,57,81,166
0,0,0,92
17,47,77,167
23,47,71,150
15,37,67,155
27,57,87,177
4,4,4,10
30,60,90,365
30,60,90,181
30,60,88,358
30,60,90,365
2,6,9,70
6,7,28,32
0,0,0,0
30,60,90,365
0,0,0,0
0,0,0,0
27,57,87,362
2,16,29,97
23,53,75,75
0,0,0,0
0,0,0,0
14,26,34,69
0,18,48,137
0,6,36,311
29,59,89,364
4,7,12,180
20,20,20,20
0,0,0,0
0,0,0,0
30,60,90,118
26,45,75,166
19,49,79,352
21,48,71,326
0,6,33,276
0,0,0,0
2,9,25,280
30,60,90,365
0,0,0,0
26,56,71,331
0,10,17,200
8,38,68,248
0,0,0,0
0,0,0,73
30,60,90,180
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,30
23,44,65,226
10,38,68,158
12,35,61,262
3,13,22,103
0,0,0,0
5,26,52,244
0,18,48,323
30,60,90,365
0,0,0,0
1,5,12,166
20,50,79,253
30,58,88,88
0,0,0,0
0,0,0,0
0,0,0,0
15,43,71,212
9,39,69,69
0,0,0,0
6,32,54,74
19,46,73,163
0,0,0,0
17,23,37,290
30,60,90,90
28,58,88,363
0,0,0,0
9,32,62,119
2,3,3,3
12,36,65,149
0,0,0,0
0,0,0,0
4,34,64,339
0,0,0,0
0,0,0,0
5,23,53,54
26,44,74,341
0,0,0,65
9,39,67,223
0,1,1,1
0,0,0,0
0,0,0,0
5,5,5,199
0,0,0,0
0,0,0,0
0,1,11,68
6,30,59,141
0,3,3,69
3,3,8,8
0,0,0,0
9,9,9,9
23,53,83,358
25,55,85,175
9,35,57,211
23,53,83,358
0,0,0,0
0,0,0,0
29,59,89,179
0,0,0,0
0,0,0,0
0,0,0,0
5,8,18,226
0,0,0,0
0,6,18,236
0,0,0,0
0,0,0,0
0,0,0,0
23,53,83,174
9,31,61,211
25,55,69,268
2,6,12,181
9,34,60,129
8,38,68,152
28,58,88,363
0,0,0,0
0,0,0,10
0,0,0,0
0,0,0,0
25,55,85,175
4,15,15,15
0,0,0,0
30,60,90,365
22,52,82,323
0,0,0,0
28,55,82,158
0,0,0,0
0,0,0,0
9,37,56,303
0,0,0,0
7,30,60,60
6,25,51,52
30,60,90,270
0,0,0,0
30,60,90,180
23,52,82,357
1,10,30,242
0,0,0,0
0,0,0,192
0,0,0,0
22,46,46,47
0,0,1,1
2,2,22,211
5,13,19,236
19,45,75,350
8,21,37,112
0,0,0,0
2,26,51,299
16,22,38,189
0,0,0,0
14,25,25,25
1,19,41,111
29,59,89,90
0,5,35,123
8,20,24,151
30,60,90,365
0,11,23,59
1,11,11,59
30,60,90,311
0,1,31,306
0,0,0,0
19,41,51,255
19,49,79,354
20,49,68,158
0,0,0,0
27,57,87,178
4,13,41,132
2,18,28,244
14,44,74,349
0,0,0,0
0,0,0,0
30,60,90,361
12,29,59,85
16,40,68,158
20,50,76,287
0,0,0,0
0,0,0,0
30,56,83,173
15,45,75,247
6,9,10,270
0,0,0,0
22,42,72,330
11,34,64,319
3,25,55,137
18,41,71,346
0,0,0,0
0,0,0,0
0,0,0,0
27,57,87,87
30,60,90,365
0,0,2,247
30,60,82,82
11,11,11,75
0,0,0,0
26,47,47,47
30,60,90,90
9,35,65,333
0,0,0,255
14,21,28,163
0,0,0,0
0,0,0,0
30,60,90,365
2,10,18,225
0,0,20,20
9,13,13,20
0,20,50,50
1,16,46,46
7,33,63,153
29,59,89,89
30,60,82,322
15,36,66,156
11,22,52,142
0,0,0,0
11,30,41,237
0,9,39,39
0,0,0,0
30,60,90,90
8,21,51,51
7,17,17,17
0,0,0,211
29,59,89,179
30,60,90,365
0,0,0,0
24,54,64,305
11,34,58,295
30,60,76,206
8,18,19,19
1,1,27,281
0,0,0,0
0,5,35,310
13,28,28,232
0,0,0,0
16,35,49,306
0,0,0,0
30,60,90,90
30,60,90,365
22,52,82,357
13,30,38,263
0,0,0,0
7,13,29,280
20,41,71,219
0,0,0,225
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
30,60,90,365
0,5,21,103
17,44,68,100
2,5,11,176
0,0,0,0
0,0,0,0
25,55,85,360
3,33,63,124
22,52,82,357
0,0,0,0
9,36,66,87
14,44,74,260
0,8,10,169
11,11,14,14
0,0,0,0
0,0,8,8
6,15,34,243
18,42,63,153
0,0,0,225
30,60,90,365
8,8,8,8
4,18,48,48
20,35,48,302
24,54,84,359
13,39,69,249
1,1,1,1
0,0,0,0
0,0,0,0
26,26,26,26
23,53,83,83
5,21,44,44
27,57,87,362
0,0,0,0
9,12,38,128
2,12,22,162
4,4,4,40
0,0,0,0
0,0,0,0
17,46,76,229
29,59,89,364
29,59,89,179
30,60,90,365
0,0,0,0
0,0,0,17
6,15,40,40
30,60,90,90
29,59,89,364
24,40,59,329
19,46,76,351
7,18,34,204
0,0,0,253
28,49,79,354
20,31,31,170
30,60,90,365
17,47,77,352
24,54,84,359
23,53,83,173
5,5,5,45
27,47,65,330
2,15,36,36
13,13,13,13
28,58,88,89
8,24,54,329
0,0,0,0
1,15,39,279
15,33,54,301
0,0,0,0
30,60,81,243
7,17,36,95
30,60,90,90
7,33,59,334
30,60,90,180
0,0,0,0
30,49,79,348
2,5,5,79
19,36,46,280
30,60,90,90
30,60,90,365
24,49,73,344
30,60,90,365
0,0,0,0
0,0,0,0
16,41,53,100
5,26,56,317
16,35,51,274
30,60,90,311
20,50,80,355
19,44,74,159
30,60,90,365
23,49,63,304
9,9,9,9
0,0,0,0
12,34,64,155
19,41,71,346
30,60,90,365
16,46,76,166
0,0,0,0
23,53,83,83
0,0,0,243
11,37,67,340
0,0,0,219
30,60,90,365
29,59,89,364
18,45,70,300
9,35,35,35
27,57,87,178
23,53,81,171
0,0,0,49
6,36,66,66
0,16,46,136
0,0,0,0
13,43,73,74
29,59,72,281
0,0,0,0
21,51,81,356
0,0,0,0
0,0,0,0
0,0,0,0
7,31,61,62
0,0,0,0
30,60,90,91
2,2,2,2
0,0,1,273
1,1,1,1
27,54,67,145
21,51,81,334
1,1,1,1
24,54,77,266
23,43,43,43
24,54,84,84
0,0,0,199
19,42,54,317
4,29,59,334
28,58,88,178
16,45,62,330
0,0,0,0
0,0,0,0
0,0,0,0
29,59,89,364
20,45,75,343
11,26,56,99
12,24,42,317
19,44,62,275
20,27,45,45
6,16,42,125
10,20,34,34
0,0,0,0
0,0,0,0
25,34,39,288
12,14,33,249
29,59,88,99
0,0,0,0
28,58,88,88
0,0,0,65
0,5,5,5
28,58,88,363
0,0,0,0
0,0,0,0
23,53,83,157
0,0,0,17
29,59,89,179
18,48,75,164
0,14,36,124
17,43,68,84
17,47,77,352
0,0,0,0
4,32,32,97
1,3,7,142
0,0,0,0
10,37,64,274
0,6,29,140
30,60,90,365
0,0,0,0
30,60,90,90
7,7,7,7
0,0,0,0
16,36,56,135
18,38,58,58
13,43,73,163
17,41,71,308
4,14,18,152
22,52,79,105
12,40,69,344
1,2,2,2
30,60,90,365
7,19,39,81
15,15,15,15
30,60,90,90
30,60,90,365
0,0,0,0
21,51,81,81
3,7,13,209
27,42,60,289
7,7,7,29
19,44,74,74
0,3,20,275
29,48,59,334
3,10,16,85
29,59,89,89
0,0,0,0
11,11,29,119
0,0,0,56
23,53,83,173
0,5,35,310
18,35,55,272
15,35,63,338
16,35,50,307
18,31,31,31
14,30,60,314
14,29,38,228
8,33,63,308
30,60,90,180
12,42,72,252
0,4,34,34
8,21,27,247
24,54,84,174
29,59,89,179
0,0,4,242
0,0,0,253
30,60,90,365
4,9,18,102
0,0,0,228
4,18,42,47
0,0,0,0
0,0,0,0
0,0,0,0
0,26,28,303
0,6,15,103
0,5,35,36
22,49,71,161
11,28,43,207
30,60,90,180
4,18,39,39
13,28,55,145
21,45,75,75
0,0,0,0
30,60,90,365
4,8,17,229
0,0,0,26
6,27,55,145
10,40,70,276
0,0,0,0
29,59,89,179
30,60,90,365
24,54,82,351
12,20,50,136
0,6,36,311
2,2,2,2
1,6,16,281
0,0,0,0
10,40,70,276
20,50,80,289
0,0,0,111
9,12,12,12
0,0,0,0
0,0,0,0
0,11,41,316
12,33,41,57
30,60,90,365
27,57,87,362
0,0,0,0
0,0,0,0
0,0,0,0
0,13,43,318
0,0,3,3
0,0,0,0
5,26,30,31
29,59,89,179
24,42,65,65
24,25,55,300
7,29,38,38
0,0,4,5
17,47,77,352
0,0,0,0
10,40,70,160
6,16,46,321
0,9,13,14
28,58,88,88
0,0,0,0
12,16,18,286
0,0,0,0
0,0,0,0
15,15,15,15
13,36,66,66
29,59,89,179
0,0,0,0
0,0,0,0
9,9,9,56
7,27,57,57
0,0,0,0
23,53,83,83
0,0,22,104
30,60,90,90
2,21,51,186
29,59,73,73
29,59,89,364
13,34,55,297
28,58,88,88
0,0,0,0
30,60,90,365
0,0,0,46
20,50,80,80
0,0,0,0
30,60,90,365
6,12,23,173
27,51,75,318
0,0,0,11
2,15,30,95
0,0,0,0
0,9,39,39
16,46,76,76
7,20,47,47
28,58,88,284
15,32,59,334
4,9,13,151
22,47,72,249
24,37,51,317
29,59,89,364
6,11,11,11
0,0,0,0
9,24,38,90
0,0,0,0
0,0,0,75
29,58,82,165
30,60,90,365
0,0,6,256
0,0,8,76
11,41,71,346
30,60,90,365
0,0,0,0
1,9,19,100
30,60,90,365
17,37,67,333
17,35,54,130
17,47,75,275
26,54,71,335
0,20,50,140
0,0,0,35
26,51,58,202
30,60,90,365
10,16,25,241
1,1,1,1
4,11,29,188
13,21,33,148
30,60,90,365
0,0,0,0
29,59,89,364
10,28,58,272
12,12,18,268
10,23,39,39
0,0,0,0
30,60,90,365
1,11,17,40
6,10,12,220
0,0,0,0
30,60,90,365
27,57,87,87
7,27,57,332
3,8,38,302
9,17,34,299
0,0,0,0
2,23,23,242
18,39,61,331
5,31,61,61
10,10,10,10
0,0,0,0
0,0,0,0
0,1,1,15
20,50,78,353
8,15,32,293
0,0,0,0
0,0,0,0
19,49,79,80
15,15,15,84
22,27,37,37
0,0,0,0
29,59,89,179
9,24,49,49
30,60,90,365
0,9,39,314
17,40,70,339
15,43,73,164
14,33,33,34
14,20,20,20
11,33,52,193
0,0,0,0
6,23,41,285
0,0,0,0
23,53,83,358
0,0,0,0
1,31,61,61
19,41,64,154
27,57,87,362
30,60,90,365
15,45,75,350
27,57,87,362
9,32,62,316
19,38,63,336
30,60,90,365
0,0,0,0
0,0,0,0
4,12,18,274
29,59,89,364
17,24,33,295
8,30,60,119
27,57,87,362
13,37,59,59
18,32,55,252
16,39,64,233
28,56,86,239
0,19,49,49
0,0,0,0
27,39,67,342
25,55,85,199
2,2,2,2
0,0,0,0
30,60,90,365
23,53,83,358
28,58,88,268
0,9,25,99
7,17,35,240
2,10,15,138
0,0,0,0
0,0,0,218
28,56,84,314
30,60,90,365
22,43,70,340
29,59,89,179
29,59,89,179
1,14,39,122
0,0,6,96
29,59,89,179
27,57,87,87
14,38,68,336
0,0,0,0
7,28,55,330
0,0,0,0
8,25,55,330
27,57,87,267
30,60,90,180
18,39,64,257
0,9,39,313
0,0,0,0
22,52,82,83
0,0,0,0
30,60,90,365
14,34,34,34
0,0,0,0
0,0,0,217
5,9,25,208
0,0,0,0
12,29,45,266
1,1,18,291
0,0,0,0
30,60,90,180
30,60,90,180
0,0,0,0
26,49,74,265
30,60,90,90
30,60,90,180
0,0,0,0
28,58,88,178
30,60,90,365
30,51,78,332
1,1,1,141
23,53,83,83
2,17,47,227
0,0,0,0
10,34,62,312
0,0,24,114
28,58,88,363
10,40,70,160
0,0,0,0
30,60,90,90
23,53,83,358
5,15,26,174
0,0,0,0
0,0,0,0
30,60,90,365
28,58,88,196
30,55,59,243
30,60,90,365
9,9,12,12
15,15,15,15
20,41,41,41
0,0,0,95
0,0,0,0
1,1,3,263
29,59,86,175
26,56,79,82
0,0,0,230
21,46,76,342
23,53,83,83
0,5,35,310
7,21,40,122
25,55,85,360
6,33,63,317
0,0,8,283
0,6,36,311
16,16,16,16
6,36,66,341
14,41,71,346
11,38,62,298
27,57,87,362
28,58,88,318
27,48,78,78
0,2,30,305
30,60,90,90
6,31,31,31
29,59,89,179
0,0,0,0
28,40,68,343
2,2,2,275
0,0,0,83
0,6,10,285
0,0,0,0
22,52,82,172
7,19,27,281
9,32,57,80
13,38,68,160
29,59,89,364
0,0,0,130
28,49,49,57
23,53,83,358
23,53,83,358
2,5,8,44
2,8,16,76
16,42,72,342
6,6,6,6
29,59,89,364
25,52,62,298
0,0,0,24
17,47,77,344
3,9,32,204
0,15,45,320
0,0,15,290
2,13,18,259
8,29,47,307
21,41,62,337
4,7,17,211
30,60,90,365
0,0,0,64
29,59,89,364
23,53,83,83
0,7,37,100
0,0,0,0
15,38,68,330
21,24,25,295
24,47,77,77
1,3,7,26
24,54,84,174
0,0,0,0
5,9,18,159
0,0,0,0
9,18,29,291
29,59,89,364
0,0,0,0
0,0,0,0
30,60,90,365
30,60,90,365
28,58,88,363
1,7,37,218
0,0,0,0
30,60,90,365
22,52,82,357
0,12,37,56
0,0,0,0
28,58,88,88
0,5,35,310
18,29,47,310
0,0,0,262
1,5,17,162
0,0,0,0
6,12,20,75
17,47,77,77
29,59,89,364
8,38,67,216
0,0,0,37
0,0,0,0
8,30,59,202
30,60,90,365
0,27,52,52
27,57,87,177
0,18,48,91
21,44,56,56
22,52,82,262
1,2,23,208
0,0,9,9
11,31,58,322
4,6,9,93
13,43,70,282
5,17,38,308
0,0,0,38
1,9,9,9
29,59,89,89
0,0,0,0
21,41,55,124
13,13,13,156
5,30,30,30
30,60,90,365
23,40,70,175
28,58,88,89
0,4,4,4
30,60,90,347
2,11,22,212
0,0,0,0
30,60,90,365
30,60,90,180
0,0,0,0
26,48,72,289
30,60,90,365
2,32,62,62
12,38,58,320
15,27,39,281
0,0,0,0
0,0,0,272
0,0,0,230
30,60,87,356
9,32,47,212
0,0,0,0
18,40,70,160
15,44,74,347
29,59,89,364
21,51,81,353
0,19,42,186
2,2,2,2
0,0,0,163
14,44,71,344
0,0,0,184
0,0,0,0
0,0,0,0
12,37,67,68
0,0,0,0
0,0,0,7
0,0,0,0
12,42,72,162
0,0,0,0
4,18,29,182
29,59,89,89
7,28,58,303
30,60,82,357
1,4,13,185
30,60,90,91
0,0,0,0
0,0,0,0
25,48,78,327
0,0,0,0
9,9,9,223
17,47,77,91
5,12,31,53
0,0,0,6
27,57,87,177
29,59,89,317
25,55,85,85
27,57,87,362
9,29,59,282
0,0,11,11
0,0,0,0
19,40,70,70
28,56,86,86
29,59,89,179
23,53,80,355
8,18,45,254
30,60,90,365
0,0,0,0
0,0,0,0
15,45,75,75
6,20,50,221
0,0,9,140
0,0,0,0
18,37,67,342
21,51,81,356
30,60,81,356
29,59,89,355
4,19,27,186
30,60,90,365
0,0,0,106
11,22,22,73
0,0,0,254
0,0,0,0
1,9,31,301
0,0,0,35
18,26,48,48
8,26,44,227
29,59,89,179
0,0,0,0
18,48,78,353
0,0,0,0
29,59,89,357
0,0,0,0
30,52,82,350
30,60,90,365
27,57,87,362
0,6,36,311
27,57,87,87
25,38,62,242
2,11,25,289
30,60,90,90
1,4,28,303
30,60,90,365
0,5,32,144
30,60,90,365
29,59,89,364
12,32,60,60
30,60,90,340
30,60,90,365
8,38,68,94
17,38,61,293
0,0,0,0
21,42,65,340
0,0,0,0
30,60,90,365
23,48,72,113
0,0,5,196
0,2,13,43
0,0,0,169
24,54,84,359
29,59,89,364
19,38,68,68
6,25,38,312
0,0,0,2
0,0,0,0
8,20,46,122
30,54,84,84
1,1,1,142
0,0,0,48
0,0,5,236
16,46,70,159
30,51,51,51
18,48,78,353
3,12,29,304
6,6,22,112
17,47,69,69
0,0,0,0
0,0,0,252
1,4,16,51
29,58,85,165
30,60,90,90
0,0,0,0
12,38,68,271
24,54,76,132
11,28,58,149
0,0,0,0
0,0,0,0
29,59,89,89
30,60,88,363
0,0,18,293
0,0,0,188
30,60,90,365
14,37,64,64
28,58,88,363
30,60,90,365
0,0,0,1
23,53,83,218
0,16,30,30
0,0,0,0
9,39,69,153
25,55,85,360
9,39,69,344
30,60,90,180
15,43,62,318
2,9,23,197
0,24,54,131
6,17,47,322
0,13,43,133
23,53,81,355
6,9,17,194
0,0,0,0
15,36,61,198
0,0,2,2
0,0,0,0
0,0,0,0
30,60,90,365
4,4,4,4
30,42,42,42
13,28,48,317
18,42,72,336
29,59,89,89
23,53,83,173
28,34,34,34
3,13,15,196
0,0,0,1
9,17,24,198
3,4,7,79
29,59,89,89
30,53,80,80
0,0,0,0
3,7,7,7
9,39,43,131
9,26,34,161
9,20,45,247
0,18,48,138
5,25,48,323
19,45,75,165
30,60,90,365
19,35,59,315
30,60,90,180
28,58,88,363
9,27,42,310
30,60,90,180
5,5,9,143
1,1,26,255
16,46,76,351
0,0,0,0
0,0,0,0
0,0,0,0
3,6,24,24
0,0,0,0
10,12,39,114
8,17,27,211
0,0,0,161
0,0,0,0
30,60,90,90
0,29,59,59
30,60,90,365
0,0,0,0
22,52,82,342
29,59,89,179
0,0,0,0
0,6,14,261
15,37,55,327
3,3,5,5
29,59,89,89
17,40,47,196
0,0,0,0
26,56,86,361
0,0,0,96
0,0,10,237
11,41,71,346
30,60,90,365
18,35,51,63
15,32,49,139
0,0,0,0
17,38,46,321
8,30,60,335
4,21,42,233
28,58,88,88
29,59,89,364
7,20,20,92
29,59,89,364
24,54,84,359
2,18,43,210
29,59,89,364
29,50,71,337
29,59,89,364
30,60,90,365
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4,34,60,60
0,0,0,0
0,0,26,301
14,36,59,323
26,52,81,353
29,59,89,89
0,17,47,137
0,0,0,254
10,34,59,60
24,54,84,359
16,39,68,68
0,9,15,30
0,0,0,0
4,28,58,58
16,46,72,160
13,38,68,68
30,58,58,296
0,0,0,0
11,41,71,346
30,60,90,365
12,42,72,162
28,58,88,363
27,57,87,362
1,3,25,104
4,7,14,244
30,55,85,360
1,6,27,35
0,0,0,0
30,57,81,356
30,60,90,90
0,0,0,0
30,60,90,365
0,0,1,16
30,60,82,82
3,6,16,181
0,5,35,270
29,59,89,364
0,0,0,0
0,0,9,284
29,59,89,364
30,60,90,365
14,40,66,340
0,0,24,299
29,59,89,179
18,33,57,321
0,6,11,142
17,47,77,168
30,60,90,90
30,60,90,180
4,20,38,307
0,5,35,215
7,13,43,254
18,48,78,344
29,59,89,364
28,58,88,363
16,46,72,281
30,60,90,180
27,45,45,45
22,43,43,178
30,60,90,365
0,0,0,0
0,0,0,0
23,47,77,282
19,41,71,71
11,41,66,338
12,23,49,273
13,43,73,148
0,0,0,167
30,60,90,365
29,59,86,86
0,29,59,240
5,13,21,247
0,0,0,0
0,0,0,222
0,0,0,66
30,60,90,365
27,57,87,362
0,0,0,0
13,39,65,108
0,0,0,0
27,57,87,267
12,26,27,27
30,60,90,90
6,12,28,152
1,18,36,162
10,10,17,18
26,55,85,360
